COURSE_SUBJECT,COURSE_NUMBER,COURSE_TITLE,RESOURCE_NAME,ISBN
CURRIC,368,The Teaching of Reading,Words Their Way,0135204917
COMP SCI,475,Intro-Combinatorics,Introductory Combinatorics,0136020402
I SY E,320,Simulatn&Probablstc Modelng,Discrete-Event System Simulation (5th Edition),0136062121
CBE,310,Chem Process Thermodynamics,Introductory Chemical Engineering Thermodynamcis,0136068545
ITALIAN,102,Second Semester Italian,Webster's New World Italian Dictionary,0139536396
ENGL,245,Seminar in the Major,The World Split Open: How the Modern Women's Movement Changed America,0140097198
AFROAMER,303,"Blacks, Film, and Society",The Eyes on the Prize Civil Rights Reader,0140154035
ILS,203,West Culture:Lit&The Arts I,Odyssey,0140268863
ILS,203,West Culture:Lit&The Arts I,Iliad,0140275363
ENGL,334,18th-Century Literature,A Journal of the Plague Year,0140437851
LITTRANS,209,Masterpieces-Fr Lit & Culture,Old Goriot,0140440178
LITTRANS,235,The World of Sagas,King Harald's Saga,0140441832
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 1: The Golden Days",0140442936
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 2: The Crab-Flower Club",0140443266
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 3: The Warning Voice",0140443703
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 4: The Debt of Tears",0140443711
COMP LIT,203,Intro Cross-Cultrl Lit Form,The Saga of the Volsungs,0140447385
ASIAN,236,Asia Enchanted,Strange Tales from a Chinese Studio,0140447407
FOLKLORE,342,In Trans:Mythlgy-Scandnavia,The Prose Edda: Norse Mythology,0140447555
HISTORY,120,Europe&Mod World 1815-On,The Communist Manifesto,0140447571
ILS,205,"W Cult:Pol,Econ&Soc Thght I",THE HISTORIES,0140449086
LITTRANS,235,The World of Sagas,The Sagas of Icelanders,0141000031
LITTRANS,337,In Transl:19C Scand Fiction,Mysteries,0141186186
ENGL,334,18th-Century Literature,Caleb Williams,0141441232
HISTORY,120,Europe&Mod World 1815-On,Heart of Darkness,0141441674
GEOG,510,Economic Geography,Evicted: Poverty and Profit in the American City,0141983310
HISTORY,101,Amer Hist to Civil War Era,American Colonies: The Settling of North America,0142002100
SCAND ST,419,Scandinavian Children's Lit,Pippi Longstocking,0142402494
LAW,743,Negotiations,Bargaining for Advantage: Negotiation Strategies for Reasonable People,0143036971
ASIAN,236,Asia Enchanted,The Ramayana,0143039679
LITTRANS,337,In Transl:19C Scand Fiction,"Niels Lyhne,",0143039814
ILS,203,West Culture:Lit&The Arts I,Aeneid,0143105132
NURSING,704,Ldrshp in Adv Practc Nursing I,FOR ALL STUDENTS-- The Ethics of Leadership,0155063170
AMER IND,172,Literatures of Native America,Pusing the Bear: A Novel of the Trail of Tears,0156005441
INTER-LS,106,1st-Yr Seminar: Social Sci,The Fur Hat,0156340305
LITTRANS,209,Masterpieces-Fr Lit & Culture,The School for Wives and the Learned Ladies,0156795027
ILS,203,West Culture:Lit&The Arts I,Cultures of the West Vol I,0190240466
LSC,880,Topics in Mass Communication,Apostles of Certainty: Data Journalism and the Politics of Doubt,0190492341
HISTORY,109,Intro to US History,Ideas That Made America: A Brief History,0190625368
ILS,371,Interdis in Arts & Humanities,A Storm of Witchcraft: The Salem Trials and the American Experience,0190627808
LSC,880,Topics in Mass Communication,Journalism Without Profit: Making News When the Market Fails,0190641908
ED POL,648,Sociology of Education,Despite the Best Intentions,0190669829
POLI SCI,170,Research Methods in Poli Sci,"The Process of Social Research, 2nd Edition",0190876654
HISTORY,500,Reading Seminar in History,Samurai: A concise history,0190932945
LSC,880,Topics in Mass Communication,"Bearing Witness While Black: African Americans, Smartphones, and the New Protest #Journalism",0190935537
LITTRANS,209,Masterpieces-Fr Lit & Culture,Les Liaisons dangereuses,0192838679
SLAVIC,285,Slavic Culture in Context,Understanding Cultures Through Their Key Words,0195088360
M E,429,Metal Cutting,Metal Cutting Principles,0195142063
PHILOS,440,Existentialism,Existentialism,0195174631
ENVIR ST,460,Amer Environmental History,Dust Bowl,0195174887
AFROAMER,303,"Blacks, Film, and Society",Documentary Film: A Very Short Introduction,0195182707
ED POL,200,"Race,Ethnicty&Inequal-Am Ed",Despite the Best Intentions,0195342720
COM ARTS,310,Topics: Rhetoric & Com Science,The Fundamentalist Mindset,0195379667
ENGL,577,Postcolonial Theatre,Two Plays by Girish Karnad,0195664760
ANTHRO,860,Hist-Anthropological Theory,"Witchcraft, Oracles and Magic among the Azande",0198740298
ASIAN,103,Intro-E Asian History:China,Modern China: A Very Short Introduction,0198753705
HISTORY,201,The Historian's Craft,"The French Revolution, 1789-1799",0199244146
ENGL,175,Lit & the Other Disciplines,wieland,0199538778
CIV ENGR,500,Water Chemistry,Water Chemistry,0199730725
LSC,560,Scientific Writing,Writing science: How to write papers that get cited and proposals that get funded,0199760241
MUSIC,413,Survey Music-Baroque Era,Music of the Baroque: An Anthology of Scores,0199942021
M H R,773,Seminar-Arts Administration,Arts Management: Uniting Arts and Audiences in the 21st Century,0199973709
PHILOS,101,Introduction to Philosophy,Philosophy: The Quest for Truth,0199981086
PHYSICS,311,Mechanics,Classical Mechanics,0201029189
E M A,524,Rocket Propulsion,Mechanics and Thermodynamics of Propulsion,0201146592
ENGL,214,The English Language,How English Works. A Linguistic Introduction.,0205032281
L I S,603,Research and Assessment,Real Research: Conducting and Evaluating Research in the Social Sciences,0205416624
FRENCH,228,Intermed Language & Culture,Contrastes,0205646999
FRENCH,101,First Semester French,Francais-Monde:  Connectez-vous a la francophone (bound version) + My French Lab,0205963862
FRENCH,101,First Semester French,Francais-Monde:  Connectez-vous a la francophone (loose-leaf version) + My French Lab,0205994490
RELIG ST,600,Religion-Critical Perspective,The New Metaphysicals: Spirituality and the American Religious Imagination,0226042804
ASIAN,630,Proseminar: Cultures of Asia,Improvising Theory: Process and Temporality in Ethnographic Fieldwork,0226100316
RELIG ST,600,Religion-Critical Perspective,The Possession at Loudun,0226100359
HIST SCI,720,Historiography & Methods,Making Natural Knowledge,0226302318
RELIG ST,600,Religion-Critical Perspective,Mad and Divine: Spirit and Psyche in the Modern World,0226422879
LSC,360,Information Radio,Sound Reporting: The NPR Guide to Audio Journalism and Production,0226431789
HIST SCI,201,Origins-Scientific Thought,Beginnings of Western science,0226482057
POLI SCI,199,Directed Study,The Political System of the European Union,0230249825
COM ARTS,310,Topics: Rhetoric & Com Science,Demagogue: The Fight to Save Democracy from Its Worst Enemies,0230606245
RELIG ST,600,Religion-Critical Perspective,Martyrdom and Memory: Early Christian Culture Making,0231129874
ASIAN,630,Proseminar: Cultures of Asia,Autobiography of an Archive: A Scholar's Passage to India,0231169663
CSCS,345,Evaluation and Planning,Big Hunger: The Unholy Alliance Between Corporate America and Anti-Hunger Groups,0262036088
ART,563,Graphic Design for Games,Critical Play,0262518651
PORTUG,221,Intro-Luso-Brazilian Lits,Family Ties.,0292724489
ENVIR ST,460,Amer Environmental History,Environmental Justice in Postwar America: A Documentary Reader,0295743697
ENVIR ST,460,Amer Environmental History,Conservation in the Progressive Era: A Documentary Reader,0295983752
LEGAL ST,645,Intellectual Freedom,Purity in Print:  Book Censorship in America From the Gilded Age to the Computer Age,0299175847
ASIAN,630,Proseminar: Cultures of Asia,The Trashing of Margaret Mead: Anatomy of an Anthropological Controversy,0299234541
AFRICAN,371,First Semester Yoruba,Je K'A So Yoruba,0300055900
RELIG ST,600,Religion-Critical Perspective,Before Religion: A History of a Modern Concept,0300216785
ART,438,Graphic Design History,Graphic Design: A New History,0300233280
PHYSICS,731,Quantum Mechanics,Principles of Quantum Mechanics,0306447908
LAW,771,Select Topics-Estate Planning,The Wall Street Journal Complete Money and Investing Guidebook,0307236994
RP & SE,200,Issues in Special Education,In a different key: the story of autism,0307985679
ENGL,175,Lit & the Other Disciplines,confessions of nat turner,0312112076
CLASSICS,373,Topics in Classical Culture,The Red Tent - 20th Anniversary Edition: A Novel,0312427298
KINES,417,Adv Clinical Assessment in AT,The Checklist Manifesto: How to Get Things Right,0312430000
HISTORY,120,Europe&Mod World 1815-On,Sources of the Making of the West: Peoples and Cultures.  Vol II: Since 1500.  4th edition,0312576129
SCAND ST,419,Scandinavian Children's Lit,Comet in Moominland,0312608888
SLAVIC,285,Slavic Culture in Context,Through the Language Glass,0312610491
CHEM,375,Intermed Topics in Chemistry,The Disappearing Spoon,0316051632
AFRICAN,203,Intro Topics in African Lit,We Need New Names,0316230847
COMP SCI,577,Introduction to Algorithms,Algorithm Design,0321295358
KINES,373,Meth & Prac of Sport,Teaching Cues for Sport Skills for Secondary School Students,0321734939
ART,575,User Experience for Design,Logo design love,0321985206
OCC THER,623,Yng Adult Occs&Ther Interventn,Pedretti's Occupational Therapy: Practice Skills for Physical Dysfunction,0323339271
SURG SCI,501,Radiographic Anat-Dog&Cat,Textbook of Veterinary Diagnostic Radiology,0323482473
POP HLTH,797,Introduction to Epidemiology,Gordis Epidemiology,0323552293
NURSING,437,Soc Justice in Loc & Glb Stgs,Public Health Nursing: Population-Centered Health Care in the Community,0323582249
THEATRE,464,Costume Technology Topics,The Costume Technician's Handbook,0325004773
CURRIC,316,ESL/Bilingual Methods,"Scaffolding Language, Scaffolding Learning",0325056641
CURRIC,396,Teaching of English,Teaching English by design: How to create and carry out instructional units,0325108072
ENVIR ST,460,Amer Environmental History,A Sand County Almanac,0345345053
AFROAMER,227,Masterpieces of Afro Amer Lit,The Underground Railroad,0345804325
ENGL,175,Lit & the Other Disciplines,the circle,0345807294
ART,366,Stage Lighting I,Designing with Light: An Introduction to Stage Lighting 7th Edition,0367000695
ENGL,577,Postcolonial Theatre,Dream on Monkey Mountain and Other Plays,0374143684
SCAND ST,419,Scandinavian Children's Lit,The Dark Light,0374317011
SCAND ST,419,Scandinavian Children's Lit,The Crow-Girl: The Children of Crow Cove,0374400032
LITTRANS,254,Lit Tran: Modern Italy,Christ Stopped at Eboli,0374503168
SOC WORK,640,Diversity Opp Soc Just in SW,Seeing A Color-Blind Future,0374525331
ENGL,245,Seminar in the Major,The Dialectic of Sex: The Case for Feminist Revolution,0374527873
ASIAN,630,Proseminar: Cultures of Asia,Camera Lucida: Reflections on Photography,0374532338
LITTRANS,222,Dostoevsky in Translation,THE IDIOT,0375413928
GERMAN,236,Bascom Course,The Reader,0375707972
ENGL,175,Lit & the Other Disciplines,turn of the screw and in the cage,0375757406
LITTRANS,275,In Transl:Hans C. Andersen,Hans Christian Andersen,0385189516
ILS,254,Literature and Science,Coming of Age in the Milky Way,0385263260
ART HIST,201,History of Western Art I,"Cartoon History of the Universe, vol. 1-7",0385265204
HISTORY,105,Intro-History of Africa,No Longer at Ease,0385474555
LITTRANS,209,Masterpieces-Fr Lit & Culture,Crossing the Mangrove,0385476337
AGRONOMY,532,Environmental Biophysics,An Introduction to Environmental Biophysics,0387949372
MATH,309,Intro to Prob & Math Stat I,Probability,0387979743
LEGAL ST,645,Intellectual Freedom,Perilous Times: Free Speech in Wartime From the Sedition Act of 1798 to the War on Terrorism,0393058808
ASTRON,170,The Dark Side of the Universe,Black Holes and Time Warps: Einstein's Outrageous Legacy,0393312763
COMP LIT,203,Intro Cross-Cultrl Lit Form,Inferno: A New Verse Translation (New Verse Translation by Michael Palma),0393323870
PHILOS,101,Introduction to Philosophy,The Norton Introduction to Philosophy,0393624420
POLI SCI,401,Selected Topics-Poli Sci,American Political Thought,0393655903
STAT,301,Intro-Statistical Methods,Statistics,0393929728
ASIAN,103,Intro-E Asian History:China,The Open Empire: A History of China to 1800,0393938778
ECON,305,Developmnt-Economic Thought,The Essential Adam Smith,0393955303
ECON,700,Mathematics for Economists,Mathematics for Economists,0393957330
LITTRANS,222,Dostoevsky in Translation,NOTES FROM UNDERGROUND,0393976122
THEATRE,140,Voice1 Effective Communication,The Performer's Voice: Realizing your Vocal Potential,0393979938
ASIAN,236,Asia Enchanted,Japanese Tales,0394521900
JEWISH,430,Intmed Topics in Jewish Lit,Maus vol. 1,0394747232
HIST SCI,150,The Digital Age,The Code: Silicon Valley and the Making of America,0399562206
ILS,254,Literature and Science,An Experiment with the Air Pump,0413733106
THEATRE,631,Theories of Acting,Actor Training,0415471680
RELIG ST,200,Intro Topics in Relig St (H),"Religion, Media, and Culture: A Reader",0415549558
MUSIC,911,Seminar in Musicology,Musicology: The Key Concepts,0415679680
HISTORY,105,Intro-History of Africa,God's Bits of Wood,0435909592
ASIAN AM,152,AsianAm Lit & Pop Culture,The Arrival,0439895294
HISTORY,120,Europe&Mod World 1815-On,All Quiet on the Western Front,0449213943
SOC WORK,646,Child Abuse and Neglect,Turning Stones: A Caseworker's Story - my days and nights with children at risk,0449912353
NURSING,704,Ldrshp in Adv Practc Nursing I,The Immortal Life of Henrietta Lacks,0451486315
ENGL,334,18th-Century Literature,1984,0451524934
AFROAMER,227,Masterpieces of Afro Amer Lit,Why We Can't Wait,0451527534
LSC,880,Topics in Mass Communication,Discovering The News: A Social History Of American Newspapers,0465016669
ART HIST,500,Prosem:Spec Topics-Art Hist,Popular Culture and High Culture: An Analysis and Evaluation of Taste,0465026095
ILS,205,"W Cult:Pol,Econ&Soc Thght I",THE REPUBLIC,0465094082
PSYCH,401,Psychology Law & Social Policy,Insane: America?s Criminal Treatment of Mental Illness,0465094198
ATM OCN,310,Dynamics-Atmosphere&Ocean I,Mid-latitude Atmospheric Dynamics: A First Course,0470864656
MATH,375,Multi-Var Calc & Linear Alg,"Calculus, Vol II",0471000078
CBE,562,Spec Topics in ChE,Electrochemical Methods: Fundamentals and Applications,0471043729
PHYSICS,321,Elect Circuits & Electronic,Introduction to Modern Electronics,0471058408
G L E,627,Hydrogeology,Fundamentals of Ground Water,0471137855
SLAVIC,321,Fourth Year Russian I,The Golden Age,0471309400
E M A,540,Exp Vib & Dynamic Sys Anal,Mechanical and structural vibrations: theory and applications,0471370843
E C E,548,Integrated Circuit Design,Device electronics for integrated circuits,0471593982
ASTRON,700,Basic Astrophysics I,Radiative Processes in Astrophysics,0471827592
PHYSICS,735,Particle Physics,Quarks and Leptons,0471887412
A A E,723,Professional Development Sem,Passion and Craft: Economists at Work,0472066854
BOTANY,402,Dendrology,Michigan Trees: A guide to the trees of the Great Lakes region,0472089218
ENGL,731,Adv Theatre Hist-500bc-1700,A Sourcebook in Theatrical History,0486205150
MUSIC,623,Form and Analysis,The Marriage of Figaro (Complete Score),0486237516
COMP LIT,203,Intro Cross-Cultrl Lit Form,Frankenstein,0486282112
COMP LIT,203,Intro Cross-Cultrl Lit Form,The Time Machine,0486284727
MUSIC,414,Survey Music-Classic Era,Symphony No. 3,0486297969
MUSIC,414,Survey Music-Classic Era,Symphonies Nos 40 & 41,0486298493
STAT,371,Intro Applied Stats-Life Sci,An Introduction to Statistical Methods and Data Analysis: 6th (sixth) Edition,0495017582
ART HIST,300,Art&Archaeology-Ancient Greece,Greek Art and Archaeology,0500052093
GEOG,510,Economic Geography,"Golden Gulag: Prisons, Surplus, Crisis, and Opposition in Globalizing California",0520242017
ANTHRO,300,Cult Anthro:Thry&Ethnogrphy,Reflections on Fieldwork in Morocco: Thirtieth Anniversary Edition.,0520251776
ASIAN,630,Proseminar: Cultures of Asia,"Aghor Medicine: Pollution, Death, and Healing in Northern India",0520252195
RELIG ST,600,Religion-Critical Perspective,Mama Lola: A Vodou Priestess in Brooklyn,0520268105
STS,201,Where Science Meets Society,The Golem at Large: What You Should Know about Technology,0521012708
CLASSICS,834,Roman Political Thought,Seneca: Moral and Political Essays,0521348188
CLASSICS,834,Roman Political Thought,Cicero: On Duties,0521348358
PHILOS,432,History-Modern Philosophy,Descartes: Meditations on First Philosophy: With Selections from the Objections and Replies,0521558182
ART HIST,300,Art&Archaeology-Ancient Greece,The Archaeology of Ancient Greece,0521627338
B M I,576,Introduction to Bioinformatics,Biological sequence analysis probabilistic models of proteins and nucleic acids,0521629713
PHILOS,220,Philosophy and the Sciences,Evidence and Evolution: The Logic Behind the Science,0521692741
SOC,441,Criminology,Darfur and the Crime of Genocide,0521731356
POLI SCI,414,Supreme Ct as Pol Instit,Crafting Law on the Supreme Court: The Collegial Game,0521783941
CNSR SCI,930,Seminar in Fam Economic Policy,The Economic Organization of the Household,0521801419
PHYSICS,406,Special Topics in Physics,General Relativity: An Introduction for Physicists,0521829518
ASIAN,236,Asia Enchanted,Ghosts of War in Vietnam,0521880610
E M A,542,Advanced Dynamics,Engineering Dynamics,0521883032
AFROAMER,303,"Blacks, Film, and Society",I Am Not Your Negro,0525434690
ENGL,248,Women in Ethnic Amer Lit,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",0525434801
ART,448,Special Topics,How to Be an Anti-Racist,0525509283
ENGL,140,Comm B Topics in English Lit,My Year of Rest and Relaxation,0525522131
GEN&WS,343,Queer Bodies,The Stars and the Blackness Between Them,0525555498
PHYSICS,311,Mechanics,Classical Dynamics of Particles and Systems,0534408966
CHEM,115,Chemical Principles I,"Principles of Modern Chemistry, 6th Edition",0534493661
E M A,547,Engineering Analysis I,Advanced Engineering Mathematics,0534552080
ENGL,176,Topics in Literature and Film,Fun Home,0544709047
ENGL,175,Lit & the Other Disciplines,a scanner darkly,0547572174
INTER-LS,106,1st-Yr Seminar: Social Sci,Darkness at Noon,0553265954
THEATRE,352,Auditioning for Stage & Screen,AUDITION,0553272950
ASIAN,300,Topics in Asian Studies,Yoga: Discipline of Freedom. The Yoga Sutra attributed to Patanjali,0553374281
ILS,254,Literature and Science,Arcadia,0571169341
A A E,306,The Real Estate Process,The Birth of a Building: From Conception to Delivery,0578553651
ENGL,577,Postcolonial Theatre,The Dilemma of a Ghost,0582276020
KINES,508,Workshop in Kinesiology,What the Best College Teachers Do,0674013255
HISTORY,201,The Historian's Craft,When the King Took Flight,0674016424
RELIG ST,400,Topics in Relig St-Humanities,Rebecca's Revival: Creating Black Christianity in the Atlantic World,0674022572
AFROAMER,712,Educ and Civil Rights Movement,In Struggle: SNCC and the Black Awakening of the 1960s,0674447255
GREEK,103,Elementary Ancient Greek,A New Introduction to Greek: Third Edition Revised and Enlarged,0674616006
ILS,205,"W Cult:Pol,Econ&Soc Thght I",Frogs. Assemblywomen. Wealth,0674995961
ENGL,140,Comm B Topics in English Lit,The Plague,0679720219
ENGL,245,Seminar in the Major,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,0679721886
ENGL,223,V Nabokov: Russ&Amer Writng,Pnin,0679723412
ENGL,223,V Nabokov: Russ&Amer Writng,Pale FIre,0679723420
ENGL,223,V Nabokov: Russ&Amer Writng,Despair,0679723439
ENGL,223,V Nabokov: Russ&Amer Writng,Invitation to a Beheading,0679725318
ENGL,223,V Nabokov: Russ&Amer Writng,The Defense,0679727221
ENGL,223,V Nabokov: Russ&Amer Writng,The annotated Lolita,0679727299
C&E SOC,475,Classical Soc Theory,Democracy in America. Vol. 1,0679728252
C&E SOC,475,Classical Soc Theory,Democracy in America. Vol. 2,0679728260
JEWISH,430,Intmed Topics in Jewish Lit,Maus vo. 2,0679729771
LITTRANS,222,Dostoevsky in Translation,DEMONS,0679734511
HISTORY,120,Europe&Mod World 1815-On,THe Kidnapping of Edgardo Mortara,0679768173
C&E SOC,475,Classical Soc Theory,Suicide: A Study in Sociology,0684836327
PHILOS,432,History-Modern Philosophy,A Spinoza Reader: The Ethics and Other Works,0691000670
LITTRANS,337,In Transl:19C Scand Fiction,The Seducer's Diary,0691017379
BOTANY,265,Rainforests and Coral Reefs,The New Neotropical Companion,0691115257
POLI SCI,461,"Philos, Poli, & Econ Seminar",A Turn to Empire: The Rise of Imperial Liberalism in Britain and France,0691115583
CNSR SCI,930,Seminar in Fam Economic Policy,Mostly Harmless Econometrics: An Empiricist's Companion,0691120358
ASTRON,320,The Interstellar Medium,Physics of the interstellar and intergalactic medium,0691122148
HIST SCI,201,Origins-Scientific Thought,Revolutionizing the sciences,0691142068
A A E,636,Applied Econometric Anal I,Mastering 'Metrics: The Path from Cause to Effect,0691152845
ED POL,648,Sociology of Education,Privilege: The Making of an Adolescent Elite at St. Paul's School,0691156239
BOTANY,460,General Ecology,How to Do Ecology,0691161763
A A E,246,Climate Change Econ & Policy,Climate Shock,0691171327
AMER IND,172,Literatures of Native America,The Mourning Road to Thanksgiving,0692213368
ART HIST,415,Topics in Medieval Art,History of Illuminated Manuscripts,0714834521
PHM SCI,432,Pharmaceutical Biochemistry,Biochemistry,0716720094
RP & SE,660,Special Topics,The Sport Psychology Handbook,0736049045
KINES,371,Meth & Prac Dance & Gymnastics,Teaching Movement Education: Foundations for Active Lifestyles,0736074562
GEN&WS,103,Gender Women Bodies and Health,S.E.X.: The All-You-Need-To Know Sexuality Guide to Get You Through Your Teens an,0738218847
FRENCH,211,French Lit & Interdis Studies,Who Slashed Celanire's Throat?: A Fantastical Tale,0743482611
LSC,880,Topics in Mass Communication,Bourdieu and the Journalistic Field,0745633870
L I S,301,Information Literacies Online,YouTube: Online Video and Participatory Culture,0745660193
PHYSICS,311,Mechanics,Mechanics: Volume 1 (Course of Theoretical Physics S),0750628960
ENGL,175,Lit & the Other Disciplines,little brother,0765323117
HISTORY,105,Intro-History of Africa,Binti,0765385252
PSYCH,401,Psychology Law & Social Policy,Unfair: The New Science of Criminal Injustice,0770437788
FRENCH,271,Intro to Literary Analysis,Les Belles-soeurs,0776100254
AFRICAN,371,First Semester Yoruba,Yoruba Modern Practical Dictionary,0781809789
ELPA,999,Independent Reading,Good Practice In Student Affairs,0787944572
E C E,542,Intro to Microelectromech Sys,Microsystem Design,0792372468
CLASSICS,373,Topics in Classical Culture,Texts of Terror: Literary-Feminist Readings of Biblical Narratives,0800615379
ART HIST,415,Topics in Medieval Art,Introduction to Manuscript Studies,0801487080
ILS,205,"W Cult:Pol,Econ&Soc Thght I",FOUR TEXTS ON SOCRATES,0801492823
POLI SCI,461,"Philos, Poli, & Econ Seminar",Writings on Empire and Slavery,0801865093
AFROAMER,338,The Black Arts Movement,Jeffrey Ogbar: Black Power: Radical Politics and African American Identity,0801882753
GERMAN,245,Topics-Dutch Life & Culture,On the Water,0802138950
OCC THER,612,Prof Skills III: Org & Mgmt-OT,Leading & Managing Occupational Therapy Services: An Evidenced Approach,0803643659
OCC THER,673,Sci Inq-OT III: Data Coll&Anal,Foundations of Clinical Research: Applications to Practice,0803646577
KINES,123,Living well: Lifestyle balance,Time management from the inside out,0805064699
CS&D,854,Electroacous & Instr Calibratn,Instrumentation: An Introduction for Students in the Speech and Hearing Sciences,0805846816
LEGAL ST,645,Intellectual Freedom,"The Dismissal of Miss Ruth Brown: Civil Rights, Censorship, and the American Library",0806133147
ENGL,245,Seminar in the Major,The Female Man,0807062995
ED POL,200,"Race,Ethnicty&Inequal-Am Ed",We Want to Do More Than Survive,0807069159
LACIS,440,Topics in LACIS,Silencing the Past. Power and the Production of History,0807080535
AFROAMER,227,Masterpieces of Afro Amer Lit,Kindred,0807083690
SOC,924,Seminar-Political Sociology,From George Wallace to Newt Gingrich,0807121185
CURRIC,663,Lrng Envr-Initial Ed Progm,Young Investigators: The project approach in the early years,0807756903
AFROAMER,712,Educ and Civil Rights Movement,"The NAACP's Legal Strategy Against Segregated Education, 1925-1950",0807817236
AFROAMER,712,Educ and Civil Rights Movement,"Along Freedom Road: Hyde County, North Carolina, and the Fate of Black Schools in the South",0807844373
FRENCH,804,Interdis W Europ Studies Sm,Black Marxism: The Making of the Black Radical Tradition,0807848298
RELIG ST,600,Religion-Critical Perspective,We Have a Religion: The 1920s Pueblo Indian Dance Controversy and American Religious Freedom,0807859354
ENVIR ST,460,Amer Environmental History,"Changes in the Land: Indians, Colonists, and the Ecology of New England",0809016346
ENGL,175,Lit & the Other Disciplines,nat turner,0810972271
LITTRANS,254,Lit Tran: Modern Italy,Conversations in Sicily,0811214559
COMP LIT,203,Intro Cross-Cultrl Lit Form,Labyrinths,0811216993
FOLKLORE,342,In Trans:Mythlgy-Scandnavia,Poems of the Elder Edda,0812282205
SPANISH,326,Survey of Spanish American Lit,Autobiografia de un esclavo,0814325386
ENGL,245,Seminar in the Major,Out of the Closets: Voices of Gay LIberation,0814741835
COMP LIT,350,Problms in Comp Lit & Cultures,Granada,0815607652
BOTANY,402,Dendrology,Trees and Shrubs of Minnesota (The Complete Guide to Species Identification) 1st Edition,0816640653
